2	xxx/yyy/zzz	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
4	analysis/result	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	t	f
5	a/1	1	4	U	\N	AVAILABLE	42	4711	f	42	f	t	t	f	f
6	a/2	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
7	a/3	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
8	xml/result-8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
9	xml/result-9	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
10	xml/result-10	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
11	xml/result-11	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
12	xml/result-12	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
14	contained/20110509092359990-11	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
15	contained/20110509092359990-12	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
17	a/4	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
18	xml/result-18	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
20	xml/result-20	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
21	xml/result-21	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
22	xml/result-22	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
27	xml/result-27	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
28	xml/result-28	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
32	contained/COMPONENT_1A	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
33	contained/COMPONENT_2A	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
34	contained/COMPONENT_1B	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
35	xml/dataset-to-delete	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
38	contained/COMPONENT_3A	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
39	contained/COMPONENT_3AB	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
40	contained/COMPONENT_3Ax	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t	f	f
